PacketSize (bytes),Time (ns)
64,11272
64,7958
64,7410
64,7971
64,7788
64,9274
64,7710
64,8521
64,8739
64,8479
64,8974
64,8585
64,8474
64,8522
64,8642
64,8406
64,8321
64,8435
64,8513
64,8396
64,8455
64,8388
64,8504
64,8314
64,8444
64,8330
64,8768
64,10297
64,8375
128,8510
128,8643
128,8704
128,8546
128,8663
128,16634
128,3060
128,2889
128,2855
128,2889
128,2920
128,2847
128,2871
128,2892
128,2861
128,2877
128,2828
128,2875
128,2883
128,2899
128,2960
128,2623
128,2604
128,2815
128,2568
128,2890
128,2586
128,2891
128,2940
128,2952
256,3050
256,2885
256,2943
256,2950
256,2911
256,2884
256,2967
256,2853
256,2892
256,2882
256,2907
256,2858
256,2885
256,2866
256,2915
256,2848
256,2987
256,2874
256,2950
256,2949
256,2993
256,2579
256,2884
256,2985
256,2968
256,2600
256,2827
256,2848
256,2932
256,2884
512,3146
512,3059
512,2980
512,2956
512,2961
512,2924
512,3097
512,2919
512,2954
512,2917
512,3152
512,2975
512,3038
512,2955
512,2928
512,2950
512,3095
512,2974
512,3000
512,2910
512,2931
512,2654
512,3045
512,2574
512,2631
512,2981
512,2670
512,2917
512,2669
512,2886
1024,3133
1024,2683
1024,2951
1024,2656
1024,3125
1024,2788
1024,2639
1024,2734
1024,2662
1024,2826
1024,2781
1024,2869
1024,3239
1024,5876
1024,6757
1024,4718
1024,3983
1024,4363
1024,4082
1024,3499
1024,4013
1024,4083
1024,4543
1024,4019
1024,4221
1024,5079
1024,3475
1024,2996
1024,2760
1024,3146
