PacketSize (bytes),Time (ns)
64,14938
64,7333
64,7135
64,7932
64,6987
64,7451
64,6493
64,6931
64,7108
64,7530
64,7035
64,6860
64,7314
64,5331
64,4824
64,4725
64,4707
64,4720
64,5048
64,5747
64,4923
64,4777
64,4712
64,5071
64,4823
64,4943
64,4828
64,4932
64,4818
128,4767
128,4933
128,4818
128,4768
128,4754
128,7843
128,14125
128,7995
128,6688
128,6181
128,6480
128,7108
128,6382
128,6236
128,6615
128,6732
128,6693
128,6509
128,6263
128,15674
128,6849
128,6690
128,6473
128,6578
128,7347
128,6402
128,6357
128,6263
128,6238
128,6766
256,7563
256,7730
256,7033
256,8037
256,6814
256,7371
256,7174
256,7891
256,7173
256,6621
256,7155
256,7402
256,10929
256,5939
256,5440
256,6048
256,6359
256,11114
256,11211
256,8296
256,7079
256,7100
256,7449
256,8419
256,7292
256,7823
256,5606
256,5173
256,5224
256,4945
512,4898
512,5650
512,5228
512,4889
512,5361
512,4931
512,5071
512,5534
512,4997
512,4868
512,4919
512,5017
512,5064
512,5130
512,5524
512,5849
512,5303
512,5276
512,5130
512,6203
512,5146
512,4927
512,4873
512,5113
512,4973
512,8180
512,5052
512,5146
512,4905
512,4893
1024,5298
1024,5146
1024,4991
1024,4957
1024,4991
1024,5055
1024,5039
1024,5231
1024,5057
1024,4957
1024,5450
1024,6460
1024,5102
1024,5452
1024,5372
1024,5688
1024,5056
1024,4981
1024,5238
1024,5058
1024,4971
1024,4971
1024,5173
1024,5320
1024,5239
1024,5009
1024,5545
1024,6712
1024,5169
1024,4983
