PacketSize (bytes),Time (ns)
64,21765
64,12718
64,13197
64,12848
64,13510
64,12954
64,42311
64,34632
64,32871
64,15917
64,11355
64,10871
64,12031
64,10901
64,12740
64,11226
64,12298
64,11658
64,12662
64,12373
64,34160
64,28405
64,28280
64,25733
64,15302
64,10937
64,10269
64,12819
64,10817
128,12990
128,13098
128,12747
128,13048
128,11904
128,12734
128,10790
128,12274
128,11717
128,11928
128,10630
128,35140
128,38540
128,22388
128,11894
128,12870
128,13051
128,13196
128,12896
128,13102
128,13513
128,12928
128,13849
128,14544
128,11773
128,19941
128,14606
128,13231
128,14920
128,13348
256,12706
256,14695
256,12880
256,12997
256,13067
256,12411
256,13109
256,10714
256,10911
256,10543
256,10510
256,14122
256,14781
256,14027
256,11626
256,13708
256,12811
256,13985
256,13050
256,13164
256,13236
256,13422
256,13747
256,13658
256,13042
256,13130
256,12974
256,12649
256,12588
256,12860
512,13416
512,13337
512,13692
512,14979
512,13977
512,13915
512,13016
512,14903
512,13958
512,15242
512,13159
512,14055
512,13138
512,13710
512,12650
512,15059
512,16027
512,15024
512,19782
512,17880
512,18685
512,18214
512,18903
512,17162
512,19113
512,18378
512,18626
512,19417
512,15931
512,16174
1024,18734
1024,17139
1024,16188
1024,17668
1024,18579
1024,17787
1024,17183
1024,17672
1024,17317
1024,35127
1024,23817
1024,21713
1024,23362
1024,23159
1024,22203
1024,18199
1024,23088
1024,18841
1024,18373
1024,17584
1024,17063
1024,19635
1024,17629
1024,20582
1024,21088
1024,20194
1024,21171
1024,18056
1024,28596
1024,26019
