PacketSize (bytes),Time (ns)
64,64286
64,13967
64,8762
64,8545
64,9877
64,11684
64,9140
64,33515
64,8481
64,8465
64,8650
64,8568
64,10328
64,8313
64,12144
64,8676
64,10004
64,8544
64,9775
64,8508
64,10190
64,8364
64,9741
64,61258
64,13336
64,8951
64,9891
64,8462
64,9856
64,8647
128,8793
128,9967
128,8397
128,9999
128,8420
128,8444
128,10531
128,8584
128,9932
128,8493
128,9912
128,8787
128,9825
128,8452
128,9777
128,9168
128,9894
128,8501
128,9763
128,8714
128,9900
128,8384
128,10301
128,8597
128,9993
128,8366
128,9953
128,8550
128,9992
128,8572
256,9800
256,12402
256,8768
256,9889
256,9097
256,9996
256,8629
256,9899
256,11020
256,8820
256,9855
256,8440
256,9888
256,8581
256,9915
256,8663
256,9802
256,8659
256,10075
256,8834
256,9870
256,8423
256,9849
256,8659
256,10185
256,8455
256,9754
256,8544
256,9807
256,8530
512,10399
512,8903
512,10277
512,8645
512,10112
512,8680
512,10247
512,8645
512,10316
512,8752
512,10171
512,8900
512,9993
512,12576
512,12637
512,12506
512,8686
512,10115
512,8987
512,10289
512,10943
512,9009
512,10232
512,12371
512,12884
512,11000
512,8855
512,10124
512,12247
512,12208
1024,13452
1024,8897
1024,10208
1024,10196
1024,10233
1024,9264
1024,10413
1024,9821
1024,10320
1024,9176
1024,10150
1024,9743
1024,8853
1024,9153
1024,8972
1024,9267
1024,8797
1024,9080
1024,9224
1024,8844
1024,9761
1024,9124
1024,9143
1024,8961
1024,11650
1024,10080
1024,9221
1024,10444
1024,9092
1024,10282
